"","Gene_name","WT1","WT3","WT4","muMT3","muMT1"
"2597","Ap1ar",2,3,4,2,0
"2598","Ap1b1",26,20,38,13,20
"2599","Ap1g1",5,4,3,6,2
"2600","Ap1g2",57,92,78,74,84
"2601","Ap1m1",0,0,0,1,0
"2602","Ap1m2",0,0,0,0,1
"2603","Ap1s1",1,1,6,1,1
"2604","Ap1s2",1,1,1,4,2
"2605","Ap1s3",0,0,0,0,0
"2606","Ap2a1",16,48,47,51,34
"2607","Ap2a2",6,7,5,4,1
"2608","Ap2b1",9,8,8,15,9
"2609","Ap2m1",0,4,2,2,4
"2610","Ap2s1",1,1,6,2,0
"2611","Ap3b1",8,6,17,8,4
"2612","Ap3b2",7,17,19,5,3
"2613","Ap3d1",10,12,21,7,4
"2614","Ap3m1",1,3,4,5,0
"2615","Ap3m2",0,6,1,3,1
"2616","Ap3s1",7,2,2,3,2
"2617","Ap3s2",2,2,1,5,1
"2618","Ap4b1",0,0,1,0,0
"2619","Ap4e1",0,0,2,0,0
"2620","Ap4m1",22,34,41,22,36
"2621","Ap4s1",1,2,10,0,1
"2622","Ap5b1",1,0,0,0,0
"2623","Ap5m1",0,0,3,1,0
"2624","Ap5s1",0,0,0,0,0
"2625","Ap5z1",0,0,0,0,0
"2626","Apaf1",1,0,0,0,0
"2627","Apba1",7,4,4,5,1
"2628","Apba2",3,9,4,2,0
"2629","Apba3",0,9,1,5,6
"2630","Apbb1",5,10,12,4,5
"2631","Apbb1ip",1,0,0,0,1
"2632","Apbb2",1,1,3,4,2
"2633","Apbb3",1,0,0,1,0
"2634","Apc",3,1,7,7,1
"2635","Apc2",8,9,7,10,7
"2636","Apcdd1",0,0,1,0,0
"2637","Apcs",0,0,0,0,0
"2638","Apeh",0,0,0,0,0
"2639","Apex1",21,28,32,23,32
"2640","Apex2",0,0,0,0,0
"2641","Aph1a",49,217,234,215,185
"2642","Aph1b",0,1,0,2,1
"2643","Aph1c",2,2,7,5,3
"2644","Api5",21,27,23,24,11
"2645","Apip",0,0,0,0,1
"2646","Apitd1",0,0,2,0,2
"2647","Aplf",0,0,0,2,0
"2648","Apln",2,0,0,1,1
"2649","Aplnr",0,0,0,0,0
"2650","Aplp1",24,43,43,28,13
"2651","Aplp2",17,26,29,13,8
"2652","Apmap",1,2,0,2,1
"2653","Apoa1",2,1,1,0,2
"2654","Apoa1bp",0,0,1,0,0
"2655","Apoa2",0,0,0,0,0
"2656","Apoa4",0,0,0,0,0
"2657","Apoa5",0,0,0,0,0
"2658","Apob",0,1,1,0,0
"2659","Apobec1",0,0,0,0,0
"2660","Apobec2",4,10,2,5,2
